Feat0,Feat1,Feat2,Feat3,Feat4,Feat5,Feat6,Feat7,target
129.796875,54.61446686,0.03883887,-0.221015675,1.41722408,14.11096745,12.30015297,171.27487,0
74.578125,40.47368153,0.732779857,1.810725713,5.614548495,27.36510403,5.547135031,32.22747329,0
119.1796875,49.91765619,0.273821245,-0.09214311,2.134615385,14.52363219,10.19804861,130.4111109,0
114.28125,48.98787119,-0.007398411,-0.248115208,5.546822742,31.38796472,5.820810116,33.50675057,0
47.3046875,32.13777922,3.53345021,16.53491275,129.333612,79.08179103,-0.399639203,-1.034550242,1
112.0625,48.14946618,0.331624838,-0.014803418,2.406354515,17.22583887,9.008724198,93.2805985,1
116.2265625,46.43497046,0.170994141,-0.129765586,2.122073579,18.50391302,9.689148964,98.63835781,0
127.3125,46.98649241,-0.041379736,-0.258334497,2.862040134,16.4782779,7.823328687,77.07679908,0
121.7421875,47.71812518,-0.073771408,-0.16974646,76.17558528,91.32514374,0.382100335,-1.815752473,0
114.828125,45.23119592,-0.044473087,-0.135140765,3.928093645,25.29749112,7.318807488,56.31344353,0
80.734375,40.2960692,0.808971613,1.9538013,2.299331104,16.9293446,9.260121801,98.87182329,0
121.8984375,51.13689346,0.045058214,-0.126180624,2.798494983,18.96913611,8.325978443,79.03123546,0
116.9765625,49.13366095,-0.045689015,0.157969435,2.392976589,15.21274167,8.646229612,95.34759109,0
114.8828125,44.84950897,0.437513489,0.53176279,2.572742475,15.70768381,9.863247015,122.6499072,0
130.109375,48.09710789,-0.111737903,-0.385262601,2.77090301,20.48360196,8.80984589,85.71607659,0
100.484375,38.73507462,0.421540506,1.018196083,1.928929766,11.78085002,11.632928,197.3368352,0
117.296875,52.91404577,0.281035396,-0.29172754,13.7541806,43.18235163,3.107119291,8.515758563,0
134.25,46.67239548,0.095923397,-0.173557912,2.117056856,12.78369088,10.15238859,148.9757299,0
21.078125,39.20929605,4.619730606,21.42781175,110.4816054,73.16368804,0.02967964,-0.982838389,1
36.4140625,31.56628129,4.509977444,25.20027791,15.9632107,49.18448974,3.298676687,10.16866433,1
100.25,40.13161939,0.421238648,1.150149063,2.780100334,16.88573556,8.64331026,91.68850457,0
124.3203125,50.8828209,-0.150148599,-0.033531057,2.110367893,17.25297297,9.425758424,98.38532421,0
134.0625,46.77000742,-0.125926742,-0.321579508,2.338628763,14.4418988,9.591488509,117.6793285,0
124.7109375,49.29869933,0.100665697,0.02351935,3.821070234,20.68451728,6.98203544,55.24530317,0
145.421875,49.16642804,-0.353121474,-0.222655052,2.657190635,16.13621594,9.460239203,113.9084455,0
147.171875,44.04314457,-0.096229723,0.216209177,3.554347826,19.89078599,6.730665038,52.39151505,0
121.7734375,50.63197712,0.004865384,-0.11153204,1.100334448,13.4536228,14.46639014,225.5144159,0
136.7109375,48.76140129,-0.150271593,-0.256850531,1.496655518,15.42131247,12.53221561,171.2635591,0
57.7734375,41.51415701,2.838965075,9.853350469,62.2909699,62.26744522,1.082803734,0.724746575,1
105.484375,42.21966077,0.309383275,0.682723487,2.162207358,13.77684463,10.74529331,153.0539448,0
133.8984375,45.56740197,-0.055867475,0.159990539,91.60785953,101.2511327,0.332292826,-1.71192464,0
145.875,49.14996185,0.019480028,-0.359243199,1.890468227,14.98278419,11.37941435,152.3018866,0
96.296875,48.54417437,0.462261531,0.304179325,11.43143813,43.12352346,3.864211106,14.03501627,0
15.625,32.9020801,5.397410786,30.56721605,94.61287625,70.87384431,0.646144076,-0.492505018,1
123.6796875,45.47989487,0.234601066,0.172569488,1.993311037,14.92242893,10.58937964,138.1218922,0
127.6015625,51.76891862,0.199490656,-0.240111154,6.558528428,30.87528727,5.069509777,25.73674554,0
95.0625,50.1634438,0.657025774,0.348162566,10.090301,38.94576719,4.103211971,16.36638029,0
132.703125,45.3261375,-0.164721766,0.109852129,3.230769231,17.50327986,7.568077048,69.39300662,0
110.4296875,44.19376434,0.198591261,0.536032651,2.368729097,19.17535675,9.43844184,96.94838213,0
114.7890625,53.58807767,0.31477629,-0.136776762,1.953177258,15.7767498,9.728664367,107.2627685,0
108.34375,37.30646674,0.423016543,1.611199975,5.5409699,28.19667834,5.529552206,32.21442882,0
105.7109375,54.63160034,0.340996355,0.00340336,3.407190635,22.61974265,7.383158675,57.56657294,0
138.5,49.73884925,-0.300892681,-0.146276763,9.009197324,41.72922849,4.488027659,18.50531925,0
113.4453125,50.04885248,0.120138506,-0.094491025,4.127926421,25.02689903,6.469516182,43.39530595,0
147.828125,40.67710301,-0.22741853,0.680690135,1.959866221,13.06819243,10.1620848,142.8180517,0
103.1640625,45.96445253,0.301566551,0.266178575,1.739130435,15.88626509,11.17013641,136.9424229,0
