Feat0;Feat1;Feat2;Feat3;Feat4;Feat5;Feat6;Feat7;Feat8;Feat9;Feat10;Feat11;Feat12;Feat13;Feat14;Feat15;Feat16;Feat17;Feat18;Feat19;Feat20;Feat21;Feat22;Feat23;Feat24;Feat25;Feat26;Feat27;Feat28;Feat29;Feat30;Feat31;Feat32;Feat33;Feat34;Feat35;Feat36;Feat37;Feat38;Feat39;Feat40;Feat41;Feat42;Feat43;Feat44;Feat45;Feat46;Feat47;Feat48;Feat49;Feat50;Feat51;Feat52;Feat53;Feat54;Feat55;Feat56;target
0.000;0.000;0.000;0.000;1.280;0.000;2.560;1.280;1.280;1.280;1.280;1.280;0.000;0.000;0.000;0.000;5.120;0.000;2.560;1.280;5.120;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.542;0.000;0.000;102.666;304;308;1
0.000;0.000;0.150;0.000;0.310;0.000;0.150;0.000;0.630;0.150;0.150;0.000;0.000;0.000;0.000;1.110;0.000;1.270;0.790;0.000;0.000;0.000;0.000;0.000;0.950;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.310;0.000;0.000;0.150;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.088;0.000;0.862;0.707;0.022;5.423;51;1128;1
0.000;0.000;0.000;0.000;0.000;1.120;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.240;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.392;0.000;3.333;0.000;0.000;2.551;12;74;1
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.080;0.000;0.000;0.000;0.000;0.000;3.260;0.000;0.000;5.430;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.152;0.000;0.000;5.210;36;99;1
0.000;0.000;0.760;0.000;0.760;0.000;0.500;0.500;0.000;1.010;0.000;0.250;1.520;0.000;0.760;0.000;0.000;1.520;2.030;0.000;1.520;0.000;0.760;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.500;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.078;0.000;0.433;0.433;0.000;2.441;19;249;1
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.800;0.000;0.000;0.000;0.000;0.000;0.000;0.800;0.000;0.000;0.000;0.000;0.000;0.800;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.800;0.800;0.000;0.000;0.000;0.000;0.000;1.600;0.000;1.600;0.000;0.000;0.000;0.000;0.000;0.115;0.000;0.115;0.000;0.000;3.388;28;122;0
0.100;0.050;0.100;0.000;0.310;0.100;0.000;0.000;0.000;0.050;0.000;0.310;0.050;0.000;0.000;0.100;0.100;0.000;0.840;0.050;0.630;0.000;0.000;0.050;1.470;0.360;0.000;0.050;0.000;0.210;0.100;0.000;0.000;0.000;0.100;0.150;0.210;0.000;0.360;0.000;0.000;0.000;0.000;0.000;0.100;0.000;0.000;0.150;0.007;0.168;0.000;0.038;0.061;0.007;1.704;25;939;0
1.240;0.410;1.240;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.410;0.000;0.000;0.000;0.410;0.000;0.820;3.730;0.000;1.240;0.000;0.000;0.410;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.410;0.000;0.000;0.000;0.000;0.068;0.000;0.481;0.549;0.000;3.166;19;114;1
0.490;0.280;0.400;0.000;0.090;0.110;0.020;0.210;0.420;0.750;0.230;0.890;0.540;1.060;0.000;0.160;0.330;0.020;3.230;0.000;1.460;0.000;1.030;0.510;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.020;0.000;0.000;0.000;0.000;0.059;0.000;0.391;0.868;0.144;5.783;193;3210;1
0.000;0.620;1.240;0.000;0.310;0.000;0.000;0.000;0.000;0.000;0.000;0.620;0.000;0.000;0.000;0.310;0.000;1.240;2.490;0.000;1.240;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.310;0.000;0.000;0.000;0.000;0.050;0.000;1.152;0.000;0.000;4.592;121;349;1
0.070;0.070;0.070;0.000;0.140;0.000;0.000;0.430;0.000;0.000;0.140;1.430;0.070;0.000;0.000;0.000;0.930;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.300;0.000;0.000;0.000;0.000;0.070;0.000;0.000;0.000;0.000;0.000;0.430;0.140;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.140;0.056;0.094;0.000;0.000;0.028;0.000;2.394;24;881;0
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.430;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.430;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.625;6;13;0
0.000;0.000;0.550;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.550;0.550;0.000;0.000;0.000;0.000;0.000;0.550;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.550;0.000;0.000;0.000;0.087;0.000;0.000;0.000;0.000;2.540;47;94;0
