Feat0;Feat1;Feat2;Feat3;Feat4;Feat5;Feat6;Feat7;Feat8;Feat9;Feat10;Feat11;Feat12;Feat13;Feat14;Feat15;Feat16;Feat17;Target
1;0;1;52360;1004;150;61;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;779850;2999;35;38;0;2;1;1;0;0;0;0;0;5600;5000;0
0;0;1;5240;18;-96;-96;0;1;1;0;0;0;0;0;0;600;600;0
0;0;0;19500;80;-51;-51;0;1;0;1;0;0;0;0;0;4000;4000;0
1;2;1;974430;1828;20;20;0;2;1;0;1;0;0;0;0;20600;20000;0
0;1;0;58410;113;84;88;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;14610;373;56;15;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;5440;126;-18;-28;0;1;1;0;0;0;0;0;0;300;300;0
0;0;1;23960;539;54;91;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;7400;206;-31;-15;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;8080;294;-48;4;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;59840;696;124;7;0;2;1;1;0;0;0;0;0;6300;6000;1
0;0;1;26130;220;-46;-27;0;2;1;1;0;0;0;0;0;2200;2000;0
0;0;0;11780;159;-7;-35;0;1;1;0;0;0;0;0;0;300;300;0
0;0;1;35570;505;25;9;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;316200;1089;-37;-21;0;3;1;2;0;0;0;0;0;2700;1000;0
0;0;0;2930;408;-77;67;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;22260;493;-13;11;0;1;1;0;0;0;0;0;0;900;900;0
0;1;1;200350;1668;43;24;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;38220;1192;33;35;0;1;0;1;0;0;0;0;0;6000;6000;0
0;0;1;212260;729;-50;-28;0;2;1;1;0;0;0;0;0;1400;1000;0
0;0;0;12970;53;-65;-64;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;9940;142;-56;-62;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;3300;15;24;-62;0;0;0;0;0;0;0;0;0;0;0;0
