Feat0;Feat1;Feat2;Feat3;Feat4;Feat5;Feat6;Feat7;Feat8;Feat9;Feat10;Feat11;Feat12;Feat13;Feat14;Feat15;Feat16;Feat17;Target
0;2;0;24740;530;223;123;2;1;0;1;0;0;0;0;0;7000;7000;0
0;1;0;64200;198;86;35;0;1;1;0;0;0;0;0;0;500;500;0
1;0;1;19370;715;44;85;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;87060;1043;212;122;0;2;1;1;0;0;0;0;0;2800;2000;0
0;0;0;384230;751;4;6;0;3;1;2;0;0;0;0;0;9700;6000;1
0;0;0;2570;10;18;-75;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;92380;514;25;29;0;6;5;1;0;0;0;0;0;4300;2000;0
1;0;1;23860;389;-24;-13;0;1;0;0;1;0;0;0;0;40000;40000;0
0;0;1;87700;935;-53;-49;0;2;1;1;0;0;0;0;0;1600;1000;0
0;0;1;28570;336;3;-13;0;1;0;1;0;0;0;0;0;2000;2000;0
1;0;0;3610;107;-65;-72;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;10000;208;-62;-49;0;1;1;0;0;0;0;0;0;500;500;0
0;1;1;21000;523;-61;-44;1;1;0;1;0;0;0;0;0;8000;8000;0
0;0;0;5180;167;-43;-10;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;10680;506;3;44;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;94190;2191;161;117;0;5;2;1;2;0;0;0;0;116500;90000;0
0;1;0;22930;328;88;36;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;273200;2387;89;71;0;2;1;1;0;0;0;0;0;3400;3000;0
1;0;1;7060;150;-69;-60;0;0;0;0;0;0;0;0;0;0;0;0
1;2;1;39900;984;-12;41;1;1;0;1;0;0;0;0;0;4000;4000;0
0;1;0;10320;172;4;-51;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;64150;872;133;81;0;1;0;0;1;0;0;0;0;20000;20000;0
1;1;1;1367690;2902;0;90;0;4;2;1;1;0;0;0;0;25400;20000;0
0;0;0;13640;210;123;33;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;43780;529;168;84;0;1;0;1;0;0;0;0;0;1000;1000;0
1;0;1;383490;1401;-42;-30;0;1;0;0;1;0;0;0;0;30000;30000;0
1;0;1;16750;398;19;35;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;395110;1043;46;40;0;3;0;3;0;0;0;0;0;6000;2000;0
0;0;0;3610;16;-69;-60;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;1620;55;-85;-72;0;0;0;0;0;0;0;0;0;0;0;1
0;0;1;9710;248;-72;-57;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;9680;210;-7;-45;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;8880;309;-48;-44;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;31250;430;-16;2;0;3;0;3;0;0;0;0;0;4000;2000;1
0;0;0;20730;48;-39;-46;0;1;1;0;0;0;0;0;0;400;400;0
1;0;1;151660;900;-25;-33;0;7;2;3;2;0;0;0;0;67700;30000;0
1;0;1;58160;897;-4;3;0;3;2;1;0;0;0;0;0;1900;1000;0
0;0;0;9280;43;-57;-90;0;1;0;1;0;0;0;0;0;2000;2000;0
0;0;0;14000;160;81;-20;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;5170;19;-27;-52;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;57440;879;4;12;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;37480;660;25;35;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;9000;241;31;40;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;31220;530;13;10;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;450490;1437;-30;-28;0;6;2;4;0;0;0;0;0;12700;4000;1
0;0;0;6760;24;-37;-40;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;19910;568;-42;-3;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;8910;209;-22;-7;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;43290;663;36;26;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;23920;359;-45;-57;0;1;0;1;0;0;0;0;0;5000;5000;0
1;0;1;18920;330;-46;-40;0;1;1;0;0;0;0;0;0;200;200;0
0;1;1;36940;439;45;-1;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;45530;736;37;37;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;90960;2039;308;243;1;2;0;1;1;0;0;0;0;32000;30000;0
0;1;1;32730;1209;353;506;1;0;0;0;0;0;0;0;0;0;0;0
0;0;0;6530;38;-72;-92;0;1;1;0;0;0;0;0;0;100;100;0
0;1;0;3430;18;-88;-74;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;45330;485;-4;25;0;3;0;2;0;1;0;0;0;402000;400000;0
0;0;0;18410;30;-33;-61;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;4080;19;73;-52;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;61620;1211;176;104;0;0;0;0;0;0;0;0;0;0;0;1
1;1;1;23600;704;-31;-26;1;0;0;0;0;0;0;0;0;0;0;0
0;0;0;3990;231;66;98;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;207930;614;-6;18;0;2;2;0;0;0;0;0;0;1000;700;0
0;0;1;27780;386;-15;-8;0;1;0;1;0;0;0;0;0;5000;5000;0
0;0;0;2910;24;-5;-40;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;10150;326;-25;-3;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;35370;656;41;5;2;1;1;0;0;0;0;0;0;200;200;0
0;1;0;9450;325;0;3;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;19990;669;-64;-18;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;60200;449;32;24;0;5;3;2;0;0;0;0;0;9200;5000;0
1;1;1;45650;664;55;34;1;0;0;0;0;0;0;0;0;0;0;0
0;0;1;5600;119;-63;-63;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;7100;227;-37;-19;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;40200;334;45;59;0;1;1;0;0;0;0;0;0;900;900;1
0;1;1;16480;401;-35;-10;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;2260;17;-29;-58;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;39700;805;-17;5;0;3;1;2;0;0;0;0;0;8700;5000;1
1;2;1;974430;1828;20;20;0;2;1;0;1;0;0;0;0;20600;20000;0
0;1;1;23820;525;63;44;1;0;0;0;0;0;0;0;0;0;0;0
0;1;0;154420;319;-46;-43;0;1;0;1;0;0;0;0;0;3000;3000;0
0;0;0;3000;72;-75;-69;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;20570;346;-7;-6;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;7590;20;-31;-50;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;716630;1677;-8;14;0;2;2;0;0;0;0;0;0;700;500;0
1;1;1;65800;1634;300;255;1;0;0;0;0;0;0;0;0;0;0;0
0;0;1;25750;494;9;-3;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;2970;19;0;-52;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;17280;394;32;53;0;1;1;0;0;0;0;0;0;100;100;0
0;1;1;132520;1174;-31;-39;0;1;1;0;0;0;0;0;0;200;200;0
1;0;1;9140;335;-69;-25;0;0;0;0;0;0;0;0;0;0;0;0
