Feat0;Feat1;Feat2;Feat3;Feat4;Feat5;Feat6;Feat7;Feat8;Feat9;Feat10;Feat11;Feat12;Feat13;Feat14;Feat15;Feat16;Feat17;Feat18;Feat19;Feat20;Feat21;Feat22;Feat23;Feat24;Feat25;Feat26;Feat27;Feat28;Feat29;Feat30;Feat31;Feat32;Feat33;Feat34;Feat35;Feat36;Feat37;Feat38;Feat39;Feat40;Feat41;Feat42;Feat43;Feat44;Feat45;Feat46;Feat47;Feat48;Feat49;Feat50;Feat51;Feat52;Feat53;Feat54;Feat55;Feat56;target
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.080;0.000;0.000;0.000;0.000;0.000;7.600;2.170;2.170;1.080;1.080;1.080;1.080;1.080;0.000;1.080;1.080;1.080;1.080;0.000;0.000;1.080;0.000;0.000;1.080;0.000;0.000;0.000;0.000;0.000;0.000;0.364;0.182;0.000;0.000;0.000;2.421;13;92;0
0.000;0.000;0.000;0.000;0.090;0.000;0.000;0.000;0.000;0.090;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.032;0.000;0.016;0.000;0.000;24.375;135;3315;1
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.570;0.000;0.000;0.000;0.000;0.000;0.000;7.140;3.570;0.000;3.570;0.000;3.570;3.570;0.000;0.000;0.000;3.570;3.570;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.239;0.000;0.239;0.000;0.000;1.687;10;27;0
0.000;0.000;0.000;0.000;0.000;0.000;0.450;0.910;0.450;0.910;0.000;0.000;0.000;0.000;0.000;0.000;0.450;0.450;0.910;0.000;0.450;0.000;0.450;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.254;0.000;0.063;0.127;0.000;4.735;46;161;1
0.590;0.440;0.290;0.000;0.140;0.030;0.030;0.140;0.560;0.670;0.290;0.670;0.590;1.230;0.030;0.220;0.440;0.070;3.430;0.000;1.530;0.000;0.590;0.630;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.030;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.070;0.000;0.000;0.000;0.000;0.075;0.000;0.612;0.531;0.137;7.300;763;2453;1
0.000;0.000;3.790;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.790;0.000;0.000;0.000;0.000;0.000;1.260;0.000;0.000;0.000;0.000;0.000;0.000;3.790;2.530;0.000;1.260;0.000;1.260;1.260;0.000;0.000;0.000;1.260;1.260;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.147;0.000;0.147;0.000;0.000;1.962;10;53;0
0.560;0.000;0.840;0.000;0.280;0.840;0.000;0.840;0.280;0.280;0.280;1.410;0.000;0.000;0.000;0.000;1.410;0.000;0.840;1.980;2.830;0.000;0.280;0.840;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.128;0.000;1.289;0.042;0.000;3.979;47;386;1
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.170;0.000;0.000;0.000;0.000;0.422;0.000;0.422;0.634;0.000;4.066;17;61;1
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.770;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.550;2.320;0.000;0.000;0.000;0.000;0.000;3.100;3.870;3.100;0.770;0.000;0.770;0.770;0.000;0.000;0.000;1.550;0.770;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.198;0.000;0.099;0.000;0.000;2.325;30;93;0
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.700;7.400;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;7.400;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.503;3.875;16;31;0
0.690;0.000;0.690;0.000;0.000;0.000;0.000;0.000;0.000;0.690;0.000;0.000;0.000;0.000;0.000;1.380;0.000;0.000;1.380;0.000;1.380;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.378;0.000;0.000;3.315;37;126;0
0.100;0.100;0.710;0.000;0.610;0.300;0.400;0.100;1.420;0.810;0.100;0.500;0.000;0.000;0.000;0.100;0.000;1.110;2.230;0.500;2.030;0.000;0.000;0.300;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.100;0.000;0.000;0.000;0.100;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.264;0.976;0.397;0.033;3.186;56;1042;1
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.660;0.000;0.000;0.000;0.000;0.000;0.000;3.330;0.000;1.660;0.000;0.000;1.660;1.660;0.000;1.660;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.660;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.290;0.000;0.000;0.000;0.290;1.722;7;31;0
0.000;0.000;0.000;0.000;0.000;0.000;1.780;0.000;0.000;1.780;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.544;0.000;0.000;1.777;5;16;1
0.000;0.000;0.000;0.000;0.000;1.880;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.770;0.000;1.880;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.307;16;30;1
0.000;0.000;0.950;0.000;0.310;0.000;0.000;0.000;0.000;0.000;0.000;0.310;0.000;0.000;0.000;0.000;0.000;0.000;1.260;0.000;0.000;0.000;0.000;0.000;0.630;0.950;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.310;0.310;0.000;0.310;0.000;0.000;0.000;0.310;0.000;0.000;0.000;0.000;0.000;0.048;0.339;0.000;0.048;0.000;0.000;1.990;14;215;0
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.580;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.580;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.580;0.000;0.000;0.000;0.083;0.000;0.000;0.000;0.000;6.096;21;189;0
0.000;0.000;0.000;0.000;0.000;0.840;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.360;0.000;0.000;12.600;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.587;0.000;1.468;7.000;35;273;1
0.000;0.000;0.820;0.000;0.820;0.000;0.000;0.000;0.000;0.000;0.000;0.820;0.000;0.000;0.000;0.000;0.820;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.650;0.000;0.000;0.000;0.820;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.820;0.000;0.000;0.000;0.000;0.000;0.000;0.119;0.000;0.000;1.272;6;42;0
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.940;0.000;2.940;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1;6;0
0.000;0.000;0.000;0.000;1.400;0.000;0.000;0.000;0.000;0.000;0.000;2.810;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.239;0.000;0.000;1.923;7;50;0
0.670;0.160;1.350;0.000;1.010;0.000;0.000;0.000;0.000;0.160;0.160;1.690;0.500;0.000;0.000;0.330;0.000;0.160;5.770;0.000;1.350;0.000;0.000;0.840;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.061;0.000;0.123;0.278;0.030;3.774;46;268;1
0.140;0.140;0.290;0.000;0.000;0.000;0.000;0.000;1.030;0.290;0.140;0.590;0.000;0.000;0.000;0.000;0.000;0.140;2.360;0.140;0.880;0.000;0.000;0.440;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.290;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.205;0.000;0.153;0.128;0.102;2.686;73;368;1
0.000;0.160;0.000;0.000;0.000;0.000;0.000;0.160;0.160;0.000;0.000;0.000;0.000;0.000;0.160;0.000;0.000;0.000;0.480;0.000;0.160;0.000;0.000;0.000;0.810;0.480;0.160;0.320;0.000;0.000;0.000;0.000;0.000;0.000;3.400;0.000;0.160;0.000;0.000;0.000;0.000;0.480;0.000;0.000;0.000;0.320;0.160;0.000;0.000;0.123;0.000;0.000;0.000;0.095;4.438;50;932;0
0.000;0.000;0.090;0.000;0.580;0.290;0.090;0.000;0.380;0.000;0.290;0.480;0.380;0.000;0.000;0.000;0.190;0.000;0.770;0.000;0.670;0.000;0.090;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.090;0.000;0.000;0.000;0.000;0.000;0.090;0.000;0.090;0.000;0.000;0.000;0.063;0.047;0.000;0.559;0.047;0.031;1.694;23;432;1
0.000;0.220;0.450;0.000;0.680;0.000;0.220;0.220;0.900;0.680;0.450;0.900;0.000;0.000;0.000;0.680;0.000;0.900;3.860;0.000;1.130;0.000;0.000;0.450;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.450;0.000;0.000;0.000;0.000;0.000;0.000;0.220;0.000;0.000;0.000;0.000;0.033;0.000;1.103;0.133;0.033;7.166;54;430;1
0.000;1.170;0.000;0.000;0.000;0.000;0.000;0.000;1.170;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.170;2.350;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.170;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.170;0.376;0.000;0.000;0.000;0.000;0.000;2.925;16;117;0
